ID,PAINTING,total_fixations,areas_of_interest,visits_to_final_area,isolated_fixations,area_duration_min,area_duration_max,area_duration_mean,area_duration_std,min_fixations_per_area,max_fixations_per_area,mean_fixations_per_area,std_fixations_per_area,last_series_duration,last_series_num_fixations,first_is_longest_duration,first_is_most_fixations,last_is_longest_duration,last_is_most_fixations,total_duration_fixations,fixation_duration_min,fixation_duration_max,fixation_duration_mean,fixation_duration_std,min_dilatation,max_dilatation,mean_dilatation,std_dilatation,instance_area_mean_dilatation_min,instance_area_mean_dilatation_max,instance_area_mean_dilatation_mean,instance_area_mean_dilatation_std,dilatation_range_min,dilatation_range_max,dilatation_range_mean,dilatation_range_std,is_max_dilatation_in_first_instance_area,is_max_dilatation_in_last_instance_area,returns_to_initial_area,times_returns_to_initial_area,n_area_changes_before_first_long_area,initial_instance_area_duration_ms,initial_instance_area_n_fixations,vote,RFLabel
238,16,30,5,8,21,2541,36267,19419.4,13505.808779928731,2,9,6.0,2.9154759474226504,36267.0,9,False,False,False,False,97097,616,15015,3236.5666666666666,3701.7750978027616,47.12836837768555,54.45380401611328,51.20926611265016,0.7421493783651594,49.17287233140733,52.75236380440848,51.22194619098503,0.971116826250426,0.7443733215332031,6.039577484130859,2.730793457031252,1.2820961765106698,False,False,True,5,3,26873.0,8,35,0.0
138,13,42,2,4,2,5852,78001,41926.5,51017.047155828215,4,38,21.0,24.04163056034261,78001.0,38,False,False,False,False,83853,616,7469,1996.5,1354.165916447572,13.915600776672363,40.46232223510742,36.001068150026995,1.1256255412910714,34.52634847896955,37.865506455704974,36.32407670929997,1.0928337069392402,1.151580810546875,23.58814144134521,9.331891059875488,9.183793800660313,False,False,True,3,1,78001.0,38,29,0.0
80,21,29,3,4,4,847,63140,21816.666666666668,35788.381806577025,1,26,9.666666666666666,14.153915830374764,63140.0,26,False,False,False,False,65450,616,7238,2256.896551724138,1634.466827544942,14.383320808410645,41.80765914916992,35.31571380742224,2.403020351093769,28.336848172274504,38.63061752319336,35.048248237659216,3.1870887465638384,3.69069862365723,26.91481685638428,12.714475222996304,8.75891406435427,False,False,True,3,1,63140.0,26,26,0.0
260,15,38,4,1,28,924,40271,24120.25,16622.892375175466,1,16,9.5,6.244997998398398,924.0,1,False,False,False,False,96481,616,7777,2538.9736842105262,1884.618600555304,34.11709213256836,51.19532775878906,43.166773846918886,1.5850975941451697,38.59497914415725,46.59381887075063,43.21594506775118,1.791811256987517,1.6934928894042898,9.704093933105469,5.0555243058638135,2.417131440089145,False,False,True,9,6,26026.0,11,11,0.0
217,15,34,3,5,5,616,100562,35805.0,56151.58677188028,1,29,11.333333333333334,15.37313674346694,100562.0,29,False,False,False,False,107415,616,14630,3159.264705882353,3128.414462474499,21.92313003540039,57.404441833496094,50.541055975777226,1.620653681933063,47.47153663635254,52.614688110351565,50.48063368047145,1.7360693764517434,0.4356575012207031,31.409591674804688,7.246159447564021,10.12399598227536,False,False,True,4,1,100562.0,29,41,0.0
317,22,48,2,12,14,51513,63602,57557.5,8548.213877764172,21,27,24.0,4.242640687119285,51513.0,21,False,False,False,False,115115,616,9933,2398.2291666666665,1712.4413981535045,38.40541076660156,51.070899963378906,45.95936131110504,1.057005002365788,43.02596555683947,48.11784966654168,45.77799526548824,1.3362189057846567,0.7909088134765554,9.647525787353525,4.20498225999915,2.008145154446109,False,False,True,11,1,51513.0,21,1,0.0
163,13,46,2,4,1,36960,48510,42735.0,8167.083322704624,19,27,23.0,5.656854249492381,48510.0,27,False,False,False,False,85470,616,6545,1858.0434782608693,1258.3064625214274,40.60089111328125,52.89542007446289,46.784070979529744,1.2492312998524588,44.37514943813456,48.91521452363804,47.0748597934213,1.446715209664136,2.1955642700195312,11.443710327148438,7.759807586669923,2.8551495481175766,False,False,True,3,1,36960.0,19,7,0.0
332,47,19,3,2,3,1925,72688,33469.333333333336,36000.30675332272,2,10,6.333333333333333,4.041451884327381,25795.0,7,False,False,False,False,100408,693,28721,5284.631578947368,7123.746714027249,11.207892417907717,45.542747497558594,39.2784230028488,1.4899179973174987,36.616815713735726,40.61044659994927,38.8471614108757,1.288269599812208,1.5361671447753906,32.32102298736572,10.4748428662618,11.067549632196522,False,True,True,1,4,1925.0,2,10,0.0
317,21,39,2,10,11,40964,52745,46854.5,8330.424989158717,19,20,19.5,0.7071067811865476,52745.0,20,False,False,False,False,93709,616,10087,2402.794871794872,1931.649379477592,36.17216873168945,54.51501083374024,51.26593354899853,1.424186905098774,50.51442992059808,52.05183243751526,51.15607632868423,0.4592323236277706,0.801910400390625,16.436695098876953,5.695738410949707,3.781358023902118,False,False,True,9,3,40964.0,19,9,0.0
138,1,39,4,5,8,924,38500,20520.5,18683.940653227663,1,19,9.75,9.069178573608529,38500.0,16,False,False,True,False,82082,616,6391,2104.6666666666665,1555.9589754660417,12.164944648742676,41.8141975402832,37.08304893049721,1.12584404679991,35.89832256360937,38.93449074881418,37.4411288215956,0.8520451002996915,1.3014907836914062,27.72122478485108,7.559345790318081,8.737300173958369,False,False,True,4,1,34342.0,19,9,0.0
