File,FixationDurCumulated,Duration,Score
S311_Q15.csv,7161,34496,0.20758928571428573
S183_Q20.csv,4851,23331,0.2079207920792079
S26_Q11.csv,11165,53669,0.20803443328550933
S326_Q23.csv,5621,26950,0.20857142857142857
S193_Q10.csv,9779,46816,0.20888157894736842
S204_Q2.csv,8855,42273,0.20947176684881602
S376_Q4.csv,9856,46585,0.2115702479338843
S198_Q23.csv,10934,51667,0.21162444113263784
S194_Q47.csv,11319,53438,0.21181556195965417
S295_Q22.csv,13167,61908,0.2126865671641791
S183_Q23.csv,10626,49896,0.21296296296296297
S256_Q13.csv,9317,43736,0.2130281690140845
S8_Q7.csv,12474,58366,0.21372031662269128
S198_Q14.csv,8393,38962,0.21541501976284586
S330_Q14.csv,9394,43351,0.216696269982238
S193_Q15.csv,9702,44506,0.2179930795847751
S85_Q22.csv,10626,48664,0.21835443037974683
S206_Q18.csv,15477,70532,0.21943231441048036
S170_Q1.csv,12859,58597,0.21944809461235218
S9_Q7.csv,12320,56133,0.2194787379972565
S257_Q47.csv,7392,33572,0.22018348623853212
S8_Q23.csv,12320,55902,0.22038567493112948
S193_Q22.csv,10780,48895,0.2204724409448819
S211_Q23.csv,11550,52360,0.22058823529411764
S216_Q20.csv,10857,49203,0.22065727699530516
S244_Q22.csv,8547,38731,0.220675944333996
S337_Q6.csv,13167,59598,0.22093023255813954
S125_Q21.csv,11473,51898,0.22106824925816024
S170_Q6.csv,13167,59444,0.22150259067357514
S7_Q16.csv,13090,58982,0.22193211488250653
S85_Q7.csv,9394,42273,0.2222222222222222
S337_Q15.csv,14091,63140,0.22317073170731708
S194_Q23.csv,12474,55825,0.22344827586206897
S8_Q1.csv,11935,53361,0.22366522366522368
S271_Q47.csv,12243,54516,0.2245762711864407
S88_Q16.csv,12089,53823,0.2246065808297568
S159_Q16.csv,13860,61369,0.2258469259723965
S198_Q16.csv,7084,31339,0.22604422604422605
S57_Q23.csv,7854,34727,0.2261640798226164
S345_Q18.csv,9009,39809,0.2263056092843327
S311_Q9.csv,9240,40810,0.22641509433962265
S326_Q14.csv,6776,29799,0.22739018087855298
S215_Q10.csv,13321,58520,0.22763157894736843
S199_Q6.csv,4466,19558,0.2283464566929134
S127_Q23.csv,14399,62986,0.22860635696821516
S9_Q9.csv,12782,55825,0.2289655172413793
S119_Q20.csv,8624,37653,0.22903885480572597
S119_Q9.csv,4004,17479,0.2290748898678414
S394_Q23.csv,13552,59136,0.22916666666666666
S193_Q23.csv,12628,54978,0.22969187675070027
S277_Q2.csv,4081,17633,0.2314410480349345
S199_Q14.csv,4081,17633,0.2314410480349345
S170_Q20.csv,12474,53823,0.2317596566523605
S345_Q47.csv,7854,33803,0.23234624145785876
S216_Q4.csv,10395,44660,0.23275862068965517
S147_Q22.csv,11473,49203,0.23317683881064163
S132_Q20.csv,7777,33341,0.23325635103926096
S183_Q7.csv,11242,48048,0.23397435897435898
S216_Q6.csv,10857,46277,0.23460898502495842
S215_Q14.csv,14091,60060,0.23461538461538461
S337_Q11.csv,16401,69685,0.23535911602209944
S175_Q15.csv,8470,35959,0.23554603854389722
S49_Q2.csv,13244,56133,0.23593964334705075
S216_Q47.csv,11011,46662,0.23597359735973597
S57_Q18.csv,13629,57519,0.23694779116465864
S387_Q15.csv,16709,70301,0.23767798466593648
S7_Q7.csv,13937,58520,0.2381578947368421
S91_Q15.csv,14553,61061,0.23833543505674654
S7_Q15.csv,14168,59444,0.23834196891191708
S345_Q6.csv,7854,32879,0.2388758782201405
S7_Q13.csv,13860,57981,0.23904382470119523
S57_Q6.csv,13090,54747,0.2390998593530239
S215_Q16.csv,14014,58443,0.23978919631093545
S277_Q4.csv,12474,51975,0.24
S37_Q4.csv,17864,74382,0.2401656314699793
S270_Q21.csv,14861,61369,0.24215809284818068
S216_Q7.csv,10626,43813,0.24253075571177504
S389_Q13.csv,16016,65989,0.2427071178529755
S159_Q4.csv,14399,59290,0.24285714285714285
S85_Q23.csv,9394,38654,0.24302788844621515
S147_Q20.csv,13860,56980,0.24324324324324326
S166_Q7.csv,13321,54593,0.24400564174894218
S174_Q6.csv,12166,49742,0.24458204334365324
S198_Q13.csv,10010,40887,0.2448210922787194
S77_Q4.csv,9163,37345,0.24536082474226803
S165_Q23.csv,16478,66913,0.24626006904487918
S170_Q13.csv,14707,59675,0.24645161290322581
S389_Q7.csv,16247,65527,0.24794359576968272
S28_Q23.csv,15477,62216,0.24876237623762376
S165_Q9.csv,16555,66374,0.2494199535962877
S147_Q16.csv,11550,46200,0.25
S175_Q7.csv,14553,58135,0.2503311258278146
S337_Q22.csv,17710,70301,0.25191675794085433
S132_Q14.csv,6930,27489,0.25210084033613445
S200_Q4.csv,14707,57981,0.2536520584329349
S376_Q18.csv,6391,25179,0.25382262996941896
S127_Q7.csv,16401,64526,0.2541766109785203
S162_Q7.csv,16709,65681,0.2543962485345838
S111_Q9.csv,12551,49280,0.2546875
S26_Q6.csv,15477,60753,0.25475285171102663
S6_Q20.csv,4620,18095,0.2553191489361702
S124_Q16.csv,7161,28028,0.2554945054945055
S175_Q2.csv,12089,47201,0.2561174551386623
S376_Q14.csv,6391,24948,0.25617283950617287
S121_Q23.csv,15785,61600,0.25625
S85_Q20.csv,14938,57904,0.2579787234042553
S166_Q21.csv,15785,60984,0.2588383838383838
S215_Q21.csv,15477,59752,0.25902061855670105
S26_Q20.csv,16863,64757,0.26040428061831156
S127_Q9.csv,16786,64372,0.2607655502392344
S131_Q20.csv,15323,58520,0.2618421052631579
S183_Q18.csv,6391,24332,0.2626582278481013
S199_Q23.csv,11011,41888,0.26286764705882354
S337_Q9.csv,18788,70917,0.26492942453854507
S77_Q13.csv,4774,18018,0.26495726495726496
S57_Q20.csv,14707,55286,0.266016713091922
S207_Q13.csv,12551,46970,0.26721311475409837
S124_Q11.csv,7161,26719,0.2680115273775216
S326_Q22.csv,9317,34727,0.2682926829268293
S170_Q9.csv,17710,65989,0.26837806301050177
S198_Q21.csv,9548,35574,0.2683982683982684
S197_Q6.csv,12474,46431,0.26865671641791045
S285_Q9.csv,21252,78925,0.26926829268292685
S311_Q20.csv,10164,37730,0.2693877551020408
S410_Q1.csv,15477,57442,0.26943699731903487
S345_Q11.csv,10472,38808,0.2698412698412698
S377_Q15.csv,14245,52668,0.27046783625730997
S199_Q11.csv,8855,32648,0.27122641509433965
S165_Q20.csv,17864,65835,0.27134502923976606
S197_Q7.csv,11396,41965,0.27155963302752295
S170_Q7.csv,18172,66913,0.2715765247410817
S206_Q9.csv,14399,52976,0.27180232558139533
S193_Q2.csv,12397,45430,0.27288135593220336
S371_Q4.csv,12320,45122,0.27303754266211605
S271_Q15.csv,12166,44429,0.2738301559792028
S52_Q6.csv,9471,34573,0.2739420935412027
S221_Q47.csv,14630,53361,0.2741702741702742
S170_Q47.csv,16016,58289,0.2747688243064729
S256_Q4.csv,14091,51282,0.2747747747747748
S7_Q10.csv,16170,58828,0.27486910994764396
S162_Q20.csv,13475,48972,0.2751572327044025
S121_Q47.csv,15400,55825,0.27586206896551724
S244_Q20.csv,6160,22253,0.2768166089965398
S59_Q23.csv,15323,55286,0.27715877437325903
S37_Q7.csv,20482,73766,0.2776617954070981
S244_Q1.csv,6930,24948,0.2777777777777778
S285_Q4.csv,22176,79695,0.2782608695652174
S376_Q9.csv,11550,41503,0.2782931354359926
S127_Q15.csv,19250,69146,0.27839643652561247
S295_Q6.csv,15323,54747,0.279887482419128
S147_Q11.csv,11935,42504,0.2807971014492754
S413_Q14.csv,18865,67144,0.2809633027522936
S124_Q14.csv,12397,44044,0.28146853146853146
S278_Q4.csv,14938,53053,0.28156748911465895
S376_Q2.csv,6314,22407,0.281786941580756
S165_Q47.csv,17941,63371,0.28311057108140947
S165_Q10.csv,17556,61985,0.28322981366459626
S88_Q20.csv,13244,46739,0.2833607907742998
S28_Q9.csv,15015,52899,0.2838427947598253
S256_Q18.csv,14784,51975,0.28444444444444444
S124_Q18.csv,12012,42196,0.2846715328467153
S194_Q7.csv,15785,55440,0.2847222222222222
S295_Q9.csv,17941,62909,0.28518971848225216
S37_Q23.csv,24563,86086,0.2853309481216458
S183_Q15.csv,11319,39655,0.2854368932038835
S110_Q18.csv,19481,68145,0.2858757062146893
S371_Q11.csv,8085,28259,0.28610354223433243
S162_Q47.csv,17248,60137,0.28681177976952626
S376_Q45.csv,9856,34342,0.28699551569506726
S159_Q9.csv,17171,59829,0.287001287001287
S200_Q18.csv,16478,57211,0.288021534320323
S256_Q9.csv,17248,59829,0.2882882882882883
S37_Q10.csv,23331,80927,0.2882968601332065
S194_Q4.csv,15477,53669,0.2883787661406026
S198_Q18.csv,10087,34958,0.28854625550660795
S48_Q21.csv,12474,43197,0.2887700534759358
S270_Q47.csv,17864,61831,0.2889165628891656
S333_Q9.csv,20405,70532,0.2893013100436681
S330_Q18.csv,14399,49742,0.2894736842105263
S121_Q22.csv,14245,49203,0.2895148669796557
S88_Q11.csv,13783,47586,0.2896440129449838
S245_Q20.csv,19096,65758,0.2903981264637002
S194_Q15.csv,16324,56210,0.29041095890410956
S76_Q15.csv,20482,70455,0.2907103825136612
S54_Q2.csv,8239,28336,0.2907608695652174
