Feature,Min,Max,Mean,Std,Variance,Shapiro-Wilk Stat,Shapiro-Wilk p-value,Normality
total_duration_fixations,3773,128128,46980.31088488645,29009.69444765662,841562371.9463995,0.9401479260021763,6.01249101270191e-31,Not Normal
fixation_duration_min,616,9779,635.8379013312451,213.04793773346836,45389.42377248382,0.058536997922378986,2.365781851602267e-77,Not Normal
fixation_duration_max,770,49357,4895.228269381362,4795.50625739919,22996880.264754783,0.6976611012433169,1.3255313779238445e-55,Not Normal
fixation_duration_mean,665.0,15579.666666666666,1526.3438734000417,1244.5983258952995,1549024.992821382,0.5514092354213043,9.653387802015585e-63,Not Normal
fixation_duration_std,57.96349425859923,16385.44199485222,1032.38643798288,1281.723246352425,1642814.4802401988,0.5998034411643123,1.2455834909949364e-60,Not Normal
min_dilatation,8.912712097167969,67.57172393798828,34.793619118870815,11.160482561623226,124.55637100829613,0.9869516021835343,1.4902829674324335e-14,Not Normal
max_dilatation,24.96615219116211,80.41280970608257,49.878091783962226,9.410485878053919,88.55724446105224,0.9970754499330806,8.448910762801311e-05,Not Normal
mean_dilatation,19.74233954421052,72.86052338565523,44.59939533806417,8.938958617686716,79.9049811687156,0.9964942297508967,1.1865065058334194e-05,Not Normal
std_dilatation,0.1965762921471671,9.136002698600754,1.271856339877545,1.3033573375446172,1.6987403493313933,0.7237769324799019,4.9460070295406266e-54,Not Normal
instance_area_mean_dilatation_min,13.518730759620668,71.2461446341755,41.49060164641741,9.044682600936211,81.80628335167822,0.9976348931433938,0.0006487405383552994,Not Normal
instance_area_mean_dilatation_max,22.421480792941463,74.56110387394136,46.98248594561638,9.164752405780211,83.99268665925418,0.9957000438828605,1.0143227236128073e-06,Not Normal
instance_area_mean_dilatation_mean,19.51120115795775,72.78085660324028,44.5530493607744,8.938752697332086,79.90129978406166,0.9963853886794112,8.348957411711064e-06,Not Normal
instance_area_mean_dilatation_std,0.0172035308273798,18.334212824602883,1.7809942369344516,1.2822935418566066,1.644276727487161,0.6708824821834778,4.212923354698987e-57,Not Normal
dilatation_range_min,0.1559600830078054,45.22148513793945,2.2415056922300836,2.8149235433086504,7.923794554673328,0.6285654337720195,2.846651557534728e-59,Not Normal
dilatation_range_max,1.5288810729980469,63.86005550189581,12.406383287199224,9.914034718621476,98.288084402032,0.8062562170247186,4.371363974540091e-48,Not Normal
dilatation_range_mean,0.9065970102945962,53.77246697743734,5.8987479415678825,4.820392820575151,23.23618694465246,0.7783690225854396,2.6801456923125045e-50,Not Normal
dilatation_range_std,0.0520058393145673,27.72717897234079,3.471297152849851,3.5723742834057903,12.761858020739034,0.6614533558856113,1.3228205456587168e-57,Not Normal
is_max_dilatation_in_first_instance_area,False,True,0.09357870007830854,0.2912987320687319,0.08485495130485085,0.32932174853972507,1.788958250851836e-70,Not Normal
is_max_dilatation_in_last_instance_area,False,True,0.2133907595927956,0.40978151679740793,0.1679208915087843,0.5041621801263032,1.2664427569398185e-64,Not Normal
returns_to_initial_area,False,True,0.9917776037588097,0.09032155135743729,0.008157982639614182,0.06185233037548299,2.8003480166661132e-77,Not Normal
